22 17072483 {'mHuman': [0.1295926517571885, 0.8704073482428115, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 45821956 {'mHuman': [0.43610223642172524, 0.5638977635782748, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 45826880 {'mHuman': [0.2901357827476038, 0.7098642172523961, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [0.5, 0.5, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 47073875 {'mHuman': [0.45766773162939295, 0.542332268370607, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 47075462 {'mHuman': [0.45527156549520764, 0.5447284345047924, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 47569571 {'mHuman': [0.0, 1.0, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [0.5, 0.5, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 47570544 {'mHuman': [0.43570287539936103, 0.564297124600639, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [0.5, 0.5, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 50280136 {'mHuman': [0.409944089456869, 0.590055910543131, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 50281917 {'mHuman': [0.3997603833865815, 0.6002396166134185, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 50282204 {'mHuman': [0.39956070287539935, 0.6004392971246006, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 50282603 {'mHuman': [0.3993610223642173, 0.6006389776357828, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 50356693 {'mHuman': [0.27496006389776356, 0.7250399361022364, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 50356850 {'mHuman': [0.2937300319488818, 0.7062699680511182, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 50357416 {'mHuman': [0.3061102236421725, 0.6938897763578274, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [0.5, 0.5, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 50431414 {'mHuman': [0.44129392971246006, 0.5587060702875399, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 50523704 {'mHuman': [1.0, 0.0, 0.0], 'Pan': [0.0, 1.0, 0.0], 'Pongo': [0.0, 1.0, 0.0], 'Gorilla': [0.13636363636363635, 0.8636363636363636, 0.0]} missing in isoform tbl
22 50616656 {'mHuman': [0.1393769968051118, 0.8600239616613419, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 50616806 {'mHuman': [0.4390974440894569, 0.5609025559105432, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 50637193 {'mHuman': [0.08865814696485623, 0.9113418530351438, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 50637597 {'mHuman': [0.4351038338658147, 0.5648961661341853, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 50683792 {'mHuman': [0.16373801916932906, 0.8362619808306709, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 50694297 {'mHuman': [0.15535143769968052, 0.8446485623003195, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 50704661 {'mHuman': [0.31309904153354634, 0.6869009584664537, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 50705466 {'mHuman': [0.000998402555910543, 0.9990015974440895, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [0.5, 0.5, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 50713866 {'mHuman': [0.004193290734824281, 0.9958067092651757, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 50719251 {'mHuman': [0.3835862619808307, 0.6164137380191693, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 50722134 {'mHuman': [0.34564696485623003, 0.65435303514377, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 50748325 {'mHuman': [0.4584664536741214, 0.5415335463258786, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [0.5, 0.4, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 50749153 {'mHuman': [0.45706869009584666, 0.5429313099041534, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 50749241 {'mHuman': [0.45726837060702874, 0.5427316293929713, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 50749352 {'mHuman': [0.4097444089456869, 0.5902555910543131, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 50877166 {'mHuman': [0.330870607028754, 0.669129392971246, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [0.5, 0.4, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 50883359 {'mHuman': [0.1785143769968051, 0.8214856230031949, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 50883961 {'mHuman': [0.4468849840255591, 0.5531150159744409, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 50885775 {'mHuman': [0.49900159744408945, 0.5009984025559105, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 50941985 {'mHuman': [0.1619408945686901, 0.8380591054313099, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 50944163 {'mHuman': [0.4444888178913738, 0.5555111821086262, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 50964862 {'mHuman': [0.4670527156549521, 0.5329472843450479, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 50985703 {'mHuman': [0.12060702875399361, 0.8793929712460063, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 50986360 {'mHuman': [0.43849840255591055, 0.5615015974440895, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 50988193 {'mHuman': [0.41972843450479236, 0.5802715654952076, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [0.5, 0.5, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 51043278 {'mHuman': [0.36142172523961663, 0.6385782747603834, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 51045190 {'mHuman': [0.38298722044728434, 0.6170127795527156, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
22 51062654 {'mHuman': [0.16513578274760382, 0.8348642172523961, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in isoform tbl
22 51183255 {'mHuman': [0.27416134185303515, 0.7258386581469649, 0.0], 'Pan': [1.0, 0.0, 0.0], 'Pongo': [1.0, 0.0, 0.0], 'Gorilla': [1.0, 0.0, 0.0]} missing in ep tbl
